tempo_h,p_man,q_tr
"1231,473644","4,226900","191,443551"
"1232,474028","4,226902","191,443552"
"1233,474413","4,226904","191,443554"
"1234,474798","4,226906","191,443555"
"1235,475183","4,226907","191,443556"
"1236,475568","4,226909","191,443557"
"1237,475952","4,226910","191,443558"
"1238,476337","4,226910","191,443559"
"1239,476722","4,226911","191,443559"
"1240,477107","4,226912","191,443560"
"1241,477491","4,226913","191,443561"
"1242,477876","4,226913","191,443561"
"1243,478261","4,226914","191,443561"
"1244,478646","4,226914","191,443562"
"1245,479030","4,226915","191,443562"
"1246,479415","4,226915","191,443562"
"1247,479800","4,226915","191,443562"
"1248,480185","4,226915","191,443562"
"1249,480569","4,226916","191,443563"
"1250,480954","4,226916","191,443563"
"1251,481339","4,226916","191,443563"
"1252,481724","4,226916","191,443563"
"1253,482109","4,226916","191,443563"
"1254,482493","4,226916","191,443563"
"1255,482878","4,226916","191,443563"
"1256,483263","4,226916","191,443563"
"1257,483648","4,226916","191,443563"
"1258,484032","4,226916","191,443563"
"1259,484417","4,226916","191,443563"
"1260,484802","4,226916","191,443563"
"1261,485187","4,226916","191,443563"
"1262,485571","4,226916","191,443563"
"1263,485956","4,226916","191,443563"
"1264,486341","4,226916","191,443563"
"1265,486726","4,226916","191,443563"
"1266,487110","4,226916","191,443563"
"1267,487495","4,226916","191,443563"
"1268,487880","4,226916","191,443563"
"1269,488265","4,226916","191,443563"
"1270,488649","4,226916","191,443563"
"1271,489034","4,226916","191,443563"
"1272,489419","4,226916","191,443563"
"1273,489804","4,226916","191,443563"
"1274,490189","4,226916","191,443563"
"1275,490573","4,226916","191,443563"
"1276,490958","4,226916","191,443563"
"1277,491343","4,226916","191,443563"
"1278,491728","4,226915","191,443563"
"1279,492112","4,226915","191,443563"
"1280,492497","4,226915","191,443563"
"1281,492882","4,226915","191,443563"
"1282,493267","4,226915","191,443563"
"1283,493651","4,226915","191,443563"
"1284,494036","4,226915","191,443563"
"1285,494421","4,226915","191,443563"
"1286,494806","4,226915","191,443563"
"1287,495190","4,226915","191,443563"
"1288,495575","4,226915","191,443562"
"1289,495960","4,226915","191,443562"
"1290,496345","4,226915","191,443562"
"1291,496730","4,226915","191,443562"
"1292,497114","4,226915","191,443562"
"1293,497499","4,226915","191,443562"
"1294,497884","4,226915","191,443562"
"1295,498269","4,226915","191,443562"
"1296,498653","4,226915","191,443562"
"1297,499038","4,226915","191,443562"
"1298,499423","4,226915","191,443562"
"1299,499808","4,226915","191,443562"
"1300,500192","4,226915","191,443562"
"1301,500577","5,492155","192,370536"
"1302,500962","6,401873","193,038100"
"1303,501347","7,217015","193,634421"
"1304,501731","7,952628","194,171133"
"1305,502116","8,616810","194,654576"
"1306,502501","9,216500","195,090146"
"1307,502886","9,757945","195,482654"
"1308,503270","10,246785","195,836417"
"1309,503655","10,688124","196,155307"
"1310,504040","11,086562","196,442797"
"1311,504425","11,446262","196,702009"
"1312,504810","11,770979","196,935745"
"1313,505194","12,064109","197,146529"
"1314,505579","12,328719","197,336630"
"1315,505964","12,567578","197,508089"
"1316,506349","12,783187","197,662742"
"1317,506733","12,977807","197,802246"
"1318,507118","13,153480","197,928093"
"1319,507503","13,312051","198,041626"
"1320,507888","13,455180","198,144053"
"1321,508272","13,584369","198,236462"
"1322,508657","13,700978","198,319839"
"1323,509042","13,806231","198,395068"
"1324,509427","13,901240","198,462956"
"1325,509811","13,986999","198,524213"
"1326,510196","14,064408","198,579490"
"1327,510581","14,134274","198,629378"
"1328,510966","14,197327","198,674389"
"1329,511351","14,254230","198,714968"
"1330,511735","14,305582","198,751596"
"1331,512120","14,351933","198,784696"
"1332,512505","14,393768","198,814561"
"1333,512890","14,431531","198,841497"
"1334,513274","14,465615","198,865779"
"1335,513659","14,496378","198,887700"
"1336,514044","14,524140","198,907567"
"1337,514429","14,549194","198,925460"
"1338,514813","14,571807","198,941511"
"1339,515198","14,592217","198,956006"
"1340,515583","14,610640","198,969123"
"1341,515968","14,627268","198,981039"
"1342,516352","14,642277","198,991728"
"1343,516737","14,655822","199,001249"
"1344,517122","14,668047","199,010047"
"1345,517507","14,679080","199,017981"
"1346,517891","14,689037","199,025099"
"1347,518276","14,698024","199,031522"
"1348,518661","14,706135","199,037277"
"1349,519046","14,713453","199,042427"
"1350,519431","14,720059","199,047165"
"1351,519815","14,726021","199,051484"
"1352,520200","14,731403","199,055260"
"1353,520585","14,736261","199,058685"
"1354,520970","14,740646","199,061792"
"1355,521354","14,744603","199,064621"
"1356,521739","14,748174","199,067169"
"1357,522124","14,751396","199,069481"
"1358,522509","14,754305","199,071574"
"1359,522893","14,756930","199,073423"
"1360,523278","14,759299","199,075103"
"1361,523663","14,761438","199,076625"
"1362,524048","14,763369","199,078002"
"1363,524432","14,765112","199,079251"
"1364,524817","14,766686","199,080372"
"1365,525202","14,768106","199,081380"
"1366,525587","14,769388","199,082309"
"1367,525972","14,770545","199,083115"
"1368,526356","14,771588","199,083854"
"1369,526741","14,772532","199,084572"
"1370,527126","14,773385","199,085150"
"1371,527511","14,774157","199,085690"
"1372,527895","14,774852","199,086189"
"1373,528280","14,775479","199,086636"
"1374,528665","14,776046","199,087040"
"1375,529050","14,776554","199,087402"
"1376,529434","14,777013","199,087729"
"1377,529819","14,777424","199,088022"
"1378,530204","14,777795","199,088286"
"1379,530589","14,778129","199,088524"
"1380,530973","14,778431","199,088740"
"1381,531358","14,778702","199,088932"
"1382,531743","14,778946","199,089106"
"1383,532128","14,779167","199,089264"
"1384,532513","14,779366","199,089405"
"1385,532897","14,779544","199,089532"
"1386,533282","14,779705","199,089646"
"1387,533667","14,779851","199,089750"
"1388,534052","14,779981","199,089843"
"1389,534436","14,780099","199,089927"
"1390,534821","14,780207","199,090004"
"1391,535206","14,780305","199,090074"
"1392,535591","14,780392","199,090136"
"1393,535975","14,780472","199,090193"
"1394,536360","14,780544","199,090245"
"1395,536745","14,780609","199,090291"
"1396,537130","14,780668","199,090333"
"1397,537514","14,780722","199,090372"
"1398,537899","14,780772","199,090407"
"1399,538284","14,780817","199,090439"
"1400,538669","14,780817","199,090439"
"1401,539053","13,660587","198,295314"
"1402,539438","12,781953","197,666173"
"1403,539823","11,991307","197,098547"
"1404,540208","11,274364","196,582557"
"1405,540593","10,623737","196,113232"
"1406,540977","10,033232","195,686394"
"1407,541362","9,497277","195,298255"
"1408,541747","9,010825","194,945361"
"1409,542132","8,569296","194,624555"
"1410,542516","8,168534","194,332954"
"1411,542901","7,804778","194,067936"
"1412,543286","7,474611","193,827105"
"1413,543671","7,174928","193,608276"
"1414,544055","6,902905","193,409449"
"1415,544440","6,655986","193,228816"
"1416,544825","6,431850","193,064710"
"1417,545210","6,228400","192,915645"
"1418,545594","6,043727","192,780229"
"1419,545979","5,876096","192,657328"
"1420,546364","5,723933","192,545545"
"1421,546749","5,585811","192,444133"
"1422,547134","5,460434","192,352015"
"1423,547518","5,346626","192,268360"
"1424,547903","5,243319","192,192394"
"1425,548288","5,149544","192,123419"
"1426,548673","5,064421","192,060785"
"1427,549057","4,987153","192,003913"
"1428,549442","4,917013","191,952281"
"1429,549827","4,853345","191,905397"
"1430,550212","4,795552","191,862830"
"1431,550596","4,743090","191,824184"
"1432,550981","4,695469","191,789097"
"1433,551366","4,652241","191,757242"
"1434,551751","4,613001","191,728322"
"1435,552135","4,577381","191,702066"
"1436,552520","4,545046","191,678229"
"1437,552905","4,515695","191,656589"
"1438,553290","4,489051","191,636944"
"1439,553674","4,464866","191,619109"
"1440,554059","4,442912","191,602919"
"1441,554444","4,422984","191,588222"
"1442,554829","4,404894","191,574880"
"1443,555214","4,388475","191,562768"
"1444,555598","4,373570","191,551773"
"1445,555983","4,360040","191,541793"
"1446,556368","4,347759","191,532733"
"1447,556753","4,336611","191,524508"
"1448,557137","4,326491","191,517042"
"1449,557522","4,317305","191,510264"
"1450,557907","4,308966","191,504111"
"1451,558292","4,301397","191,498526"
"1452,558676","4,294527","191,493457"
"1453,559061","4,288290","191,488855"
"1454,559446","4,282630","191,484678"
"1455,559831","4,277491","191,480887"
"1456,560215","4,272827","191,477445"
"1457,560600","4,268593","191,474321"
"1458,560985","4,264750","191,471484"
"1459,561370","4,261260","191,468909"
"1460,561755","4,258093","191,466572"
"1461,562139","4,255217","191,464449"
"1462,562524","4,252607","191,462523"
"1463,562909","4,250237","191,460774"
"1464,563294","4,248086","191,459187"
"1465,563678","4,246133","191,457746"
"1466,564063","4,244361","191,456438"
"1467,564448","4,242752","191,455250"
"1468,564833","4,241292","191,454173"
"1469,565217","4,239966","191,453194"
"1470,565602","4,238762","191,452306"
"1471,565987","4,237670","191,451500"
"1472,566372","4,236678","191,450767"
"1473,566756","4,235777","191,450103"
"1474,567141","4,234960","191,449500"
"1475,567526","4,234218","191,448952"
"1476,567911","4,233545","191,448455"
"1477,568295","4,232933","191,448004"
"1478,568680","4,232378","191,447594"
"1479,569065","4,231874","191,447222"
"1480,569450","4,231417","191,446885"
"1481,569835","4,231002","191,446578"
"1482,570219","4,230625","191,446300"
"1483,570604","4,230283","191,446048"
"1484,570989","4,229972","191,445819"
"1485,571374","4,229690","191,445610"
"1486,571758","4,229434","191,445422"
"1487,572143","4,229202","191,445250"
"1488,572528","4,228991","191,445094"
"1489,572913","4,228800","191,444953"
"1490,573297","4,228626","191,444825"
"1491,573682","4,228468","191,444709"
"1492,574067","4,228325","191,444603"
"1493,574452","4,228195","191,444507"
