tempo,p_man,q_tr
"10744,132359","12,783187","197,662742"
"10759,138130","12,977807","197,802246"
"10774,143902","13,153480","197,928093"
"10789,149673","13,312051","198,041626"
"10804,155444","13,455180","198,144053"
"10819,161216","13,584369","198,236462"
"10834,166987","13,700978","198,319839"
"10849,172759","13,806231","198,395068"
"10864,178530","13,901240","198,462956"
"10879,184302","13,986999","198,524213"
"10894,190073","14,064408","198,579490"
"10909,195845","14,134274","198,629378"
"10924,201616","14,197327","198,674389"
"10939,207387","14,254230","198,714968"
"10954,213159","14,305582","198,751596"
"10969,218930","14,351933","198,784696"
"10984,224702","14,393768","198,814561"
"10999,230473","14,431531","198,841497"
"11014,236245","14,465615","198,865779"
"11029,242016","14,496378","198,887700"
"11044,247788","14,524140","198,907567"
"11059,253559","14,549194","198,925460"
"11074,259331","14,571807","198,941511"
"11089,265102","14,592217","198,956006"
"11104,270873","14,610640","198,969123"
"11119,276645","14,627268","198,981039"
"11134,282416","14,642277","198,991728"
"11149,288188","14,655822","199,001249"
"11164,293959","14,668047","199,010047"
"11179,299731","14,679080","199,017981"
"11194,305502","14,689037","199,025099"
"11209,311274","14,698024","199,031522"
"11224,317045","14,706135","199,037277"
"11239,322816","14,713453","199,042427"
"11254,328588","14,720059","199,047165"
"11269,334359","14,726021","199,051484"
"11284,340131","14,731403","199,055260"
"11299,345902","14,736261","199,058685"
"11314,351674","14,740646","199,061792"
"11329,357445","14,744603","199,064621"
"11344,363217","14,748174","199,067169"
"11359,368988","14,751396","199,069481"
"11374,374760","14,754305","199,071574"
"11389,380531","14,756930","199,073423"
"11404,386302","14,759299","199,075103"
"11419,392074","14,761438","199,076625"
"11434,397845","14,763369","199,078002"
"11449,403617","14,765112","199,079251"
"11464,409388","14,766686","199,080372"
